,VIX,VIX_zscore_long,DXY_zscore_long,SP500_log_return_5d,Gold_log_return_20d,FEDFUNDS_change_60d,UNRATE_change_180d,CPI_yoy_change,M2_yoy_change,Yield_Curve_10Y_2Y,Gold_Silver_Ratio
2000-01-03,24.209999084472656,0.5278771444986744,0.6516960642921904,,,,,,,0.16799985885620128,
2000-01-04,27.01000022888184,0.8637522421979674,0.6685351588670579,,,,,,,0.18500013351440447,
2000-01-05,26.40999984741211,0.7917789906340715,0.6658758206497841,,,,,,,0.2189999771118165,
2000-01-06,25.729999542236328,0.7102093207814338,0.6898051314835695,,,,,,,0.19899978637695348,
2000-01-07,21.71999931335449,0.22918836786533398,0.7030991179289774,,,,,,,0.1940001869201664,
2000-01-10,21.709999084472656,0.22798878697965919,0.7199375363436066,0.0016341589637149188,,,,,,0.17800008773803722,
2000-01-11,22.5,0.32275361777806455,0.6818284691522299,0.027584757515750218,,,,,,0.2140000343322752,
2000-01-12,22.84000015258789,0.36353845270438334,0.6871464694265367,0.021268399875554504,,,,,,0.2060000991821287,
2000-01-13,21.709999084472656,0.22798878697965919,0.720823982416032,0.0324094233009145,,,,,,0.21800003051757777,
2000-01-14,19.65999984741211,-0.01791957466726945,0.7846345764258053,0.016294237068384485,,,,,,0.23399978637695273,
2000-01-17,19.65999984741211,-0.01791957466726945,0.8138812113736564,0.005166412195245087,,,,,,0.23399978637695273,
2000-01-18,21.5,0.20279827477045848,0.7970421167987902,0.011459472007412631,,,,,,0.27800014495849634,
2000-01-19,21.71999931335449,0.22918836786533398,0.7881796845552648,0.016377648559644735,,,,,,0.2649999046325684,
2000-01-20,21.75,0.23278711052235998,0.7527292794209186,-0.0028392091756335447,,,,,,0.2580001449584959,
2000-01-21,20.81999969482422,0.12122860491782082,0.7881796845552648,-0.016370540806927927,,,,,,0.30100013732910114,
2000-01-24,24.06999969482422,0.5110834696925406,0.8271745216588298,-0.04439312503538702,,,,,,0.25400001525878935,
2000-01-25,23.020000457763672,0.38513045105321797,0.8457865083785443,-0.03149112445561134,,,,,,0.24400001525878867,
2000-01-26,23.030000686645508,0.38633003193889315,0.8484451704355772,-0.036234901095901065,,,,,,0.22999982833862287,
